latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-15.486,-47.773,305.6,1,1,2016-10-18,01:45,T,33,5.0       ,293.5,8.3
-15.756,-49.783,307.2,1.3,1.1,2016-10-18,01:45,T,53,5.0       ,295,12.5
-15.808,-51.462,320.2,1.7,1.3,2016-10-18,01:45,T,100,5.0       ,294.1,46.2
-15.796,-51.464,315.8,1.7,1.3,2016-10-18,01:45,T,89,5.0       ,293.7,35.3
-15.797,-51.454,310.4,1.7,1.3,2016-10-18,01:45,T,71,5.0       ,293.7,22.9
-15.799,-51.47,322.9,1.7,1.3,2016-10-18,01:45,T,100,5.0       ,293.9,52.9
-15.116,-47.951,312.8,1.1,1,2016-10-18,01:45,T,80,5.0       ,294.8,14.9
-15.185,-48.751,314,1.1,1.1,2016-10-18,01:45,T,84,5.0       ,292.8,17.2
-15.141,-50.392,322.4,1.4,1.2,2016-10-18,01:45,T,100,5.0       ,295.8,38.8
-14.866,-48.347,312.4,1.1,1,2016-10-18,01:45,T,79,5.0       ,293.2,15.9
-13.903,-46.323,309.3,1,1,2016-10-18,01:45,T,65,5.0       ,294.1,10.7
-13.299,-42.984,310.9,1.4,1.2,2016-10-18,01:45,T,73,5.0       ,295.1,19.6
-14.358,-51.09,314.4,1.5,1.2,2016-10-18,01:45,T,85,5.0       ,296.8,25.7
-13.578,-45.735,310.3,1,1,2016-10-18,01:45,T,70,5.0       ,291,13.6
-13.569,-45.736,317.4,1,1,2016-10-18,01:45,T,93,5.0       ,291.5,21.5
-14.242,-51.343,306.3,1.6,1.2,2016-10-18,01:45,T,44,5.0       ,295,13.2
-13.907,-48.871,307.4,1.1,1.1,2016-10-18,01:45,T,45,5.0       ,290.4,12.8
